gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
YIF1B,22.4599,23.3709,25.6172,23.1473,28.348,29.2821,28.9887,21.031,16.232,26.4587,25.6598,21.7757,18.6233,28.2011,31.2925,33.9584,35.6613,39.9086,27.1863,25.441,49.1771,29.049,16.7311,22.9007,32.732,17.2273,54.511,20.7924,28.8667,20.6183,29.53,9.1534,11.2212,24.2713,25.3762,23.9471,27.22,8.9848,27.5186,20.5708,15.4307,34.4691,36.8198,35.5705,21.6009,26.3492,23.795,38.081,14.4638,15.2516,22.7368,42.5172,19.6191,28.7672,19.6103,17.9769,22.27,32.7104,33.9547,35.0848,35.1265,23.4475,27.5448,18.7444,28.823,28.337,12.5858,23.3825,37.5019,27.0913,40.3352,53.778,18.5356,29.1836,30.905,28.188,54.193
YIPF1,56.6042,35.3884,85.308,135.7856,132.9407,137.0686,117.445,61.7745,51.9435,122.9794,63.0457,100.2779,55.3515,54.373,79.9748,124.7394,81.6283,147.4469,84.6084,40.9058,188.6071,189.8515,111.0452,68.1428,71.7913,112.8519,116.6963,55.6441,137.2749,89.9973,58.3347,28.5777,50.8932,209.3876,51.25,77.3138,117.9369,17.1356,116.1327,77.7435,142.6548,74.3287,144.8387,73.4591,114.8031,84.5829,81.7161,75.0956,146.3826,88.9048,116.8598,119.6391,33.25,107.3546,194.3313,100.1841,88.289,65.8283,57.9063,72.4851,110.0705,98.1635,213.8802,47.365,78.7269,72.0466,212.1929,80.7381,61.2677,126.3896,89.7628,53.6871,46.9338,104.0144,167.0908,86.1769,64.0869
YIPF2,54.4803,42.8816,33.8443,67.841,72.1213,75.0752,52.635,94.2534,37.533,33.0425,89.9292,66.6533,34.9315,49.1712,94.1357,43.2914,24.2942,51.6611,67.4819,47.0511,66.3555,65.0691,78.4811,43.9768,64.2858,38.0031,61.1251,33.2802,51.7551,49.8836,45.7398,22.8216,97.5858,39.8301,97.9257,52.68,86.2349,35.931,112.3403,69.4631,89.3562,45.19575,83.7433,45.6234,62.0651,66.3391,63.7548,59.2843,55.5513,61.2032,92.4861,50.0111,97.1287,51.2916,60.911,55.0069,64.7612,46.7204,56.7017,106.6056,64.3684,45.2816,54.5016,24.9425,57.5616,42.8222,50.6583,88.4658,209.8737,125.0286,60.3363,101.7187,32.5502,58.344,62.3337,32.261,64.6861
YIPF3,125.4457,89.5071,212.0599,219.6558,143.1142,168.1842,138.1374,160.5173,84.0128,149.1252,220.657,173.4122,97.0955,206.2347,123.4296,141.5091,114.7239,150.2713,155.2961,135.1695,142.7006,188.8996,116.7124,101.6372,504.0894,132.7178,90.8259,107.8794,225.3483,139.4381,105.5606,70.9008,201.7992,228.6031,122.5077,133.9282,195.3841,61.1272,204.8292,159.2819,227.5949,197.44735,236.4368,325.9919,128.7792,195.4503,185.4145,152.0308,180.7974,104.8437,260.6109,112.1954,157.5544,138.9002,164.1907,122.6188,175.3276,159.2811,98.9846,122.8698,193.8829,141.5962,156.8474,74.7838,167.311,86.5497,193.7106,163.6225,148.1774,249.6426,136.4982,135.8402,99.9643,180.9235,197.9941,141.6322,119.5162
YIPF4,25.9018,15.7655,22.4068,21.2166,16.7813,21.2082,14.0182,11.6102,12.1328,15.7234,17.33,45.0521,7.4113,10.8685,16.9175,11.2354,16.1169,14.4511,23.5596,29.1236,17.0565,14.9009,16.8433,17.8599,16.9719,17.4907,25.5328,12.3133,20.073,23.6734,17.1815,7.0288,11.528,12.5221,16.6614,24.9329,33.5002,8.5074,13.5295,20.1283,37.4829,21.5235,15.2723,25.2358,22.5606,25.479,23.8008,18.8488,32.8143,20.9878,14.9954,17.708,66.3838,12.5064,21.6291,8.1893,23.4395,16.1569,10.9651,22.8028,20.9764,28.1769,17.8176,15.2153,33.1298,13.8175,24.6127,18.2006,16.2974,18.598,26.0047,10.564,11.4924,16.2007,14.8324,18.8653,20.5634
YIPF5,61.7045,68.044,83.0394,106.0937,64.4152,68.758,32.3885,48.9316,41.2179,48.9329,78.8902,36.0511,45.5578,56.9573,76.1518,27.8148,44.21,70.3935,26.0129,33.2649,75.2409,67.2823,53.5911,37.6332,46.9391,57.2658,65.0911,48.3227,66.4342,55.8119,52.2391,30.5882,17.928,87.2824,56.3257,83.8728,35.5891,15.6302,79.1802,78.4325,106.6123,59.15775,65.8694,90.8267,97.3032,84.5737,67.2783,55.8561,74.9246,74.4567,80.9358,92.5876,33.2816,66.7629,78.9507,67.1701,104.3335,49.4839,37.1212,92.6948,47.6255,86.312,82.1819,35.1548,81.5303,34.4746,95.9982,63.4519,47.7505,55.4261,64.7257,51.0713,31.5643,94.3106,66.4807,80.0336,50.8454
YIPF6,32.8355,23.8766,46.9837,59.6007,35.139,63.3131,19.3234,238.838,17.1457,26.5935,30.9962,36.8603,12.4681,24.1575,32.0918,25.9324,46.7426,24.0831,20.4587,49.401,23.4751,32.7892,35.2044,22.7452,25.8543,38.6462,34.9793,16.4569,52.9908,51.4683,31.0584,7.6388,21.4372,36.7524,31.2252,34.7146,48.9251,12.3427,56.7293,33.4267,73.0586,60.3003,49.4782,39.3443,37.0938,51.3069,61.6978,31.7499,77.026,39.9451,68.4193,41.9969,35.4152,63.3694,106.2673,20.7868,53.8633,38.8484,26.7304,18.0783,18.9744,33.834,38.2908,13.8051,116.4711,11.9493,51.4801,26.3351,21.6193,45.2385,57.4566,31.8059,22.4716,40.8462,25.8239,30.1316,19.6674
YIPF7,0.0749,0.0276,0.0294,0.0351,0,0.078,0.0295,0.0332,0.1246,0,0.0384,0.0911,0.0466,0,0.0485,0.0287,0,0.0414,0.0331,0,0.1365,0,0.0346,0.0676,0.1091,0.0488,0.0687,0,0.0587,0.0294,0,0.0345,0,0.3691,0.0627,0,0,0.0499,0.0345,0.0748,0.139,0.0492,0.0384,0.0671,0.1365,0,0,0.0725,0.057,0,0.1228,0.1472,0.5712,0.0412,0.0505,0.0329,0,0.0693,0.0547,0,0.1091,0,0,0.1384,0,0,0,0.0452,0,0,0.0846,0,0,0.1335,0,0.0673,0.1151
YJEFN3,4.9574,0.3048,1.3312,8.2748,0.2443,3.4869,0.9745,4.9264,3.1145,0.3087,1.6703,3.6697,0.5716,0.4726,1.4559,4.0678,3.2474,0.6081,1.1574,2.9646,2.5089,1.9978,7.3546,1.8018,1.8181,2.3313,5.7654,5.0993,1.7098,1.5328,1.1075,1.1523,0.6665,1.8094,2.937,2.5153,1.6642,2.7644,5.7439,1.7884,5.9605,1.4192,0.1647,0.5963,1.2127,0.8403,2.8146,0.6667,0.698,1.2727,6.2952,1.8634,1.2158,1.4499,3.0017,3.7076,0.468,1.7396,2.4787,0.91,4.7892,1.7112,1.0179,4.05,4.6755,4.0143,0.3197,14.7958,5.0643,0.3852,7.9569,3.1695,1.2701,1.3291,0.4614,1.6282,5.8536
YJU2,36.2358,48.5428,54.1866,38.0519,36.7102,54.5269,74.015,76.0896,31.5257,20.2261,39.3122,40.0745,19.1408,27.1764,48.2298,46.7651,29.3719,40.5893,35.3736,40.7883,35.7537,29.992,12.1069,43.1314,19.1387,25.5563,77.4922,24.1852,37.3245,30.9021,28.9419,24.3053,17.8269,31.5252,15.4605,30.9844,41.8585,33.1624,55.443,40.3092,51.3962,21.4386,27.8796,18.7868,44.4355,16.2005,43.8463,26.2966,24.1147,32.7206,32.3013,36.9484,17.744,23.4167,41.3915,35.7103,35.6181,29.1298,35.2072,18.6255,50.6201,20.9999,25.0175,42.8439,41.2441,31.4319,18.3858,31.9983,44.5552,33.1869,38.9437,28.7332,35.4201,26.5533,28.2418,67.2014,22.7703
YKT6,51.895,43.1333,36.5947,53.8135,50.8869,57.6904,38.6223,89.0801,32.5046,48.7358,50.5111,83.9235,36.5632,75.5632,77.7358,64.1453,47.755,59.3129,60.4209,43.9975,100.2261,54.5139,54.7482,69.3283,53.3774,42.5162,77.8301,65.459,83.7774,41.3023,63.1457,17.98,21.925,43.3301,55.8777,52.4745,64.9789,22.4754,36.5253,49.1606,77.3945,79.99605,52.2275,71.4201,48.944,81.704,59.8062,38.3714,34.833,35.402,53.3197,56.4406,94.9587,66.0024,69.9054,39.7263,57.5002,66.755,44.7262,84.9897,59.8045,69.0692,69.5139,26.598,48.1966,46.5481,56.4878,33.8062,73.5451,45.2419,70.7228,71.3882,25.7022,70.3037,43.6749,39.6412,40.4986
YLPM1,36.2635,35.0113,27.6072,35.7868,22.4989,29.6351,9.8645,19.908,23.5454,26.1241,15.8004,18.6242,7.3787,16.0497,20.0154,21.3592,16.7643,20.708,12.8618,14.9058,22.9646,23.5833,14.8232,17.5943,16.7211,23.5652,46.3748,18.9787,30.0998,27.9531,19.2175,6.0553,9.0678,26.4705,22.6333,36.8169,14.5036,3.9609,20.731,29.5235,32.1296,22.20695,16.8411,23.0433,41.6572,28.7479,34.1183,23.2971,29.3869,23.2311,34.4455,41.4382,15.518,16.998,35.8755,21.5781,32.496,29.9105,23.3901,14.6984,24.6219,28.3675,23.5949,18.9299,37.7551,12.0226,32.4109,25.3343,21.9654,25.4824,40.3256,22.7274,8.9997,26.5646,26.7783,19.9475,27.5407
YME1L1,139.3503,80.7989,104.6155,114.9805,86.1492,94.6459,44.9621,80.4434,80.5298,92.1817,119.901,62.4094,76.1587,67.7323,121.1903,82.6353,88.2853,97.0001,85.9253,86.7137,107.8544,106.9085,71.3154,111.4925,135.6978,91.6224,202.09,91.8349,102.3393,119.7957,131.9383,27.8194,26.1675,95.9592,92.4425,131.617,96.3091,20.3844,86.3779,129.6906,125.7217,105.9238,92.7891,150.4179,122.4973,203.4062,140.3025,218.2148,122.4914,94.5411,132.088,196.1212,107.3707,91.3166,76.8379,81.5527,105.2057,160.8503,77.8963,88.4182,241.0814,110.9973,124.301,66.6511,135.377,74.5451,143.9929,98.3479,142.6842,95.0552,129.078,137.0455,38.0076,110.1426,80.863,104.9877,108.0838
YOD1,2.8223,4.1184,20.3742,10.7183,8.2371,2.926,4.3236,8.3135,3.644,9.0764,5.3587,13.6379,4.9998,4.2888,2.0359,8.5979,4.3688,6.3237,8.6612,22.4463,1.5179,8.8758,6.1263,8.9839,9.9244,2.4209,10.6269,3.4995,11.4828,4.6968,17.7721,4.1735,8.6778,8.3864,11.2106,24.0431,5.4479,12.017,9.5439,16.959,9.1379,11.0901,6.1491,6.1025,7.1347,4.0436,6.5325,19.8867,6.1208,9.3046,2.1965,8.21,22.936,8.8502,5.1042,3.3922,11.7654,15.6145,3.7846,3.9445,0.5863,4.4032,12.4334,7.8609,12.547,5.0093,2.8532,18.6327,5.6104,6.3257,19.2171,14.1438,6.3565,7.8777,9.0666,7.9681,14.897
YPEL1,5.4405,2.1836,4.7873,3.383,4.5251,1.6909,1.3575,4.3752,4.8641,4.0149,1.4127,3.4222,1.3189,0.6721,2.0097,4.141,1.7058,2.3385,1.5531,3.0289,0.8035,3.864,4.8098,3.9405,8.9071,1.8515,4.0701,3.5431,3.0036,4.913,1.8782,1.2831,1.5773,3.2067,2.9487,5.5873,5.022,2.8287,1.5218,2.0581,3.095,3.2623,2.0672,8.0722,3.5289,2.4321,6.0123,2.1635,0.9817,2.7073,3.0598,7.9224,11.5976,1.3548,3.5797,1.4903,5.2217,8.3817,7.792,2.1894,5.2803,5.7395,3.1341,3.6324,3.2788,2.811,1.5326,11.367,1.716,2.8613,9.0438,6.0243,1.7828,3.4642,4.0546,4.7684,5.7733
YPEL2,28.5821,26.6562,4.4475,22.9437,12.9864,19.0865,10.2734,10.9105,11.8638,7.2598,17.0725,5.4569,5.9584,4.2656,15.3388,6.7851,4.2386,8.2033,7.2508,7.702,10.3465,20.6253,13.9543,5.7188,17.099,11.4044,34.4408,15.7794,20.223,21.936,6.5954,6.1011,7.1371,23.8881,3.8255,19.5141,6.2187,3.428,20.6467,16.4294,37.5361,10.7816,6.9048,10.6156,22.4408,90.2675,19.9794,11.0496,39.0716,14.9636,18.7558,4.7936,4.2848,16.6056,13.8965,21.3115,14.3405,8.0156,4.7615,12.4115,19.1125,12.8713,134.1234,14.3498,20.1112,15.8524,74.3516,11.2977,18.1765,17.6858,15.5746,4.9135,9.153,16.773,43.83,11.607,23.3606
YPEL3,39.6454,32.7312,23.9122,56.3803,43.1807,148.647,116.9863,21.663,34.8939,53.9318,51.6441,41.2744,21.4428,20.3863,95.0514,34.9728,47.4173,37.2403,54.5881,33.7493,26.6983,67.0396,27.0892,32.5185,39.3716,95.6267,40.0664,57.1565,27.6413,46.9008,26.533,55.2276,40.1256,37.6899,65.6945,57.2037,82.0647,47.9197,40.7012,75.802,61.9996,49.1325,46.921,58.2458,60.8571,30.0717,49.6542,32.3121,113.6903,56.6404,53.0059,42.3274,124.0401,68.255,126.2385,27.7222,30.8451,33.8449,30.9091,23.7025,28.9469,31.368,15.0577,95.3071,125.6671,18.3649,21.6609,80.6461,16.7637,39.0593,29.8474,17.8929,88.4521,21.8554,59.8154,26.0546,36.5086
YPEL4,1.4009,0.3707,0.5967,0.1854,1.1184,0.2852,1.4008,0.1621,0.7799,0.5706,0.1093,0.6202,0.1801,0.1437,1.3011,0.4089,0.3186,0.5884,0.4985,0.4917,0.3551,0.455,0.4359,0.4534,0.5499,0.5354,0.4188,0.5312,0.1791,0.3948,0.4301,0.5681,0.1134,0.4716,1.0189,0.7798,0.3812,0.2229,0.2802,1.2018,0.0565,0.4128,0.3746,0.9277,0.6104,0.1907,0.4293,0.4866,0.2547,1.2331,0.3328,0.4586,0.5377,0.1506,0.1642,0.4278,0.4968,0.5912,0.3222,0.1262,0.3251,0.2938,0.1525,0.6612,0.6301,0.264,0.3005,1.0662,0.2422,0.2875,0.3611,0.5076,0.7063,0.4748,0.8266,0.3692,0.7954
YPEL5,161.2728,103.4319,122.4849,97.6926,127.4278,124.027,88.7528,101.403,79.7348,69.8528,76.3249,100.7744,56.5273,67.2577,106.3475,78.5946,96.331,88.9143,86.3069,71.1416,100.4585,102.3123,119.8205,129.8872,109.6433,83.5149,102.3391,79.9935,127.2653,140.8919,61.8191,56.5012,51.9303,78.7272,49.6456,117.1983,124.4773,45.007,97.5552,137.2199,195.5422,131.52095,84.9387,99.7284,130.2656,131.2609,106.7802,98.709,155.0245,114.7697,81.4802,115.76,93.8446,61.1329,106.8097,60.6178,149.5993,51.4538,59.8137,137.6653,80.71,143.4685,86.763,135.5722,93.5344,82.1498,109.7859,71.2019,62.1929,100.9395,80.2116,57.759,73.0059,100.2667,109.3022,90.7567,93.9576
YRDC,19.5871,24.5644,29.8118,40.4713,31.2177,41.9884,12.0493,25.5873,16.3054,27.1192,31.2266,58.5351,18.5808,34.9338,34.2547,22.6981,45.2592,31.4427,29.4896,69.4084,33.5299,27.5959,21.482,37.0733,23.7819,31.5378,34.7363,36.7762,36.2538,24.2541,91.1705,8.9546,33.4946,51.063,44.1997,27.1384,52.786,14.2325,23.4322,30.9127,41.2773,45.1655,45.657,46.755,26.3812,32.1483,28.3348,76.9705,20.8718,21.2525,22.4888,24.1099,103.1138,41.1614,69.7897,17.1001,21.6948,54.793,21.7484,50.8254,32.0647,21.3398,43.9785,20.1333,41.2917,28.3149,23.6766,33.1406,22.6098,32.653,48.8455,58.6588,15.6411,25.0474,42.485,36.5981,27.8926
YTHDC1,57.9175,49.8484,76.5781,72.0075,48.1169,74.2964,35.4268,37.942,47.6426,46.0492,38.5711,56.6153,25.8366,31.9865,57.9553,41.4826,40.4109,37.0134,31.7638,37.6577,34.6855,56.2527,29.5161,30.784,36.9089,48.1999,98.2407,54.2744,57.8457,63.5482,49.9691,20.2912,20.8954,59.2703,50.2034,64.376,56.8975,18.1012,37.893,61.7014,71.0951,67.51265,40.3658,44.4956,66.5396,53.5587,56.5543,47.6401,65.6427,48.6696,54.5332,72.2282,62.9075,57.0698,87.0747,44.8221,59.1815,51.6631,49.339,26.767,54.226,52.1596,37.3061,68.8357,57.3382,36.7344,54.6016,58.9164,40.2815,53.8399,63.9664,35.0385,24.5572,51.8174,38.4118,40.9289,41.445
YTHDC2,22.1051,9.432,20.7892,29.2061,13.047,37.7315,8.8709,7.1414,15.5785,10.2126,15.494,9.0599,6.4615,6.5356,18.8942,8.4249,11.8679,12.5873,3.3977,6.745,11.845,12.3466,10.9585,10.7191,8.4644,28.1976,20.9808,12.0547,15.3338,22.4448,9.8011,6.7601,1.9423,9.2112,13.8049,22.4158,13.6072,3.9566,19.0436,22.9378,33.5964,19.4632,33.9928,9.1623,30.794,32.9419,16.9128,10.3648,28.1039,14.6003,24.0668,22.5026,8.6161,23.067,28.5801,16.7147,23.2051,9.0692,10.1454,8.6147,19.0022,17.1794,19.4135,21.4097,33.3754,8.6809,12.7321,23.4995,7.659,16.8596,23.7706,9.5297,7.8975,20.9883,10.8173,26.6633,10.3812
YTHDF1,93.2885,112.103,139.7475,125.4895,83.0046,103.4244,77.1329,117.3532,61.4935,94.6879,60.1218,164.8145,88.7559,80.1462,131.6613,133.6319,101.6725,159.1184,60.5345,89.0047,118.1867,111.4027,83.6267,50.3088,77.5245,78.6192,309.6423,71.2775,180.7509,80.7873,126.9187,39.839,64.7508,104.852,84.565,83.8781,93.9503,42.0344,69.3463,118.9746,138.8287,177.182,61.6248,61.2648,82.903,186.4316,97.0112,126.1277,84.9732,62.7994,87.6388,168.2111,126.5241,108.0189,147.9315,79.7657,118.3577,85.8224,76.8094,96.1891,115.4605,126.5559,88.1267,56.3626,96.4357,60.2386,126.6648,89.1723,158.7927,72.0873,139.3182,140.8971,44.0105,126.0335,101.8749,141.5647,94.6443
YTHDF2,88.3452,92.4299,97.3514,142.0163,98.9699,99.9864,75.0785,68.9912,50.9426,101.8822,92.5708,92.6502,60.4882,112.4363,99.0019,81.2416,126.6277,112.5135,78.4533,92.3866,85.6578,142.6026,96.5197,73.6383,65.8665,96.6458,139.118,98.6845,88.5757,125.1338,143.2402,38.1942,60.3073,87.7106,139.2705,123.784,92.5956,37.5933,81.4711,123.4117,184.5433,96.14905,61.42,157.9843,99.6466,141.8432,96.8054,126.5669,99.0321,87.2074,79.8251,155.4942,255.5324,154.515,132.9174,58.1693,108.2569,135.7702,51.1522,59.332,98.5953,131.6186,107.3449,67.9248,118.6484,78.9207,112.4727,129.5644,71.6096,121.9668,87.8801,75.8141,48.7165,117.0867,66.3674,102.0192,100.0059
YTHDF3,63.4599,32.91,93.5118,72.1628,99.3553,85.266,34.3455,83.1948,67.5331,67.9028,41.3843,78.6355,24.9758,38.1091,79.9173,76.5752,53.1207,58.3089,52.2365,48.4105,36.2172,46.8568,70.1538,40.0913,53.1656,51.7465,109.6842,48.3591,94.9342,58.3892,61.4972,12.9787,47.2389,28.5131,46.9494,80.9804,37.1066,47.8317,57.4062,73.0425,89.5428,107.3293,66.69,86.4381,93.7815,119.4996,75.0223,66.7215,71.9768,60.6129,52.1646,110.5628,49.8897,80.5193,145.1201,57.4572,100.4891,100.311,36.3861,54.7591,63.9877,60.035,68.0402,34.288,73.5435,59.7149,79.1053,56.1254,52.4189,46.1119,95.1837,42.9547,35.9332,58.4155,41.6076,83.1814,61.331
YWHAB,230.5062,296.5102,211.3821,324.0695,212.5104,266.49,122.4104,248.9966,164.735,153.6938,138.516,237.6254,201.9652,162.0249,402.6974,214.7939,282.0415,122.8889,161.1959,212.9039,816.1425,254.0574,157.4898,130.9851,222.2598,167.1038,191.0318,197.1774,333.8806,209.1573,240.9696,94.1225,128.5459,202.7621,168.4589,204.365,221.7247,76.101,188.8323,284.5053,263.4141,478.69985,396.4487,159.9406,274.4216,402.0939,243.0651,181.1405,314.8489,162.6509,270.4589,371.7224,131.3543,179.2013,237.5261,178.315,303.7277,203.1898,202.6484,169.4235,235.4172,244.236,167.1044,192.6791,250.3746,175.4008,243.6089,239.0535,223.5279,205.7726,322.9173,171.8276,170.9324,178.0994,145.9803,317.8096,239.7172
YWHAE,442.6778,532.0516,355.8047,685.2453,417.2564,693.2955,439.1468,414.1066,357.1452,377.1665,821.3165,506.1281,194.5011,461.5858,711.5885,517.4106,572.6,492.9925,467.3831,909.4943,783.8918,503.8324,305.0561,348.0253,541.3281,701.6908,529.0793,507.75,331.0645,325.2898,533.148,367.9605,291.6979,436.1178,1085.6586,736.9847,658.0456,263.542,750.7778,579.8955,921.8213,540.4867,526.2696,994.5265,604.1573,536.5478,848.5929,453.481,763.5144,394.5756,702.5273,666.702,422.6904,29.8,461.4323,345.459,539.2288,815.1327,519.9097,676.3959,216.272,300.0519,330.3436,282.2052,690.8936,442.4849,413.3579,614.8756,419.0966,836.5046,403.6936,649.5229,537.2681,439.4117,412.6093,628.5772,550.8425
YWHAG,205.2196,232.565,438.0459,388.1781,141.8945,180.3441,123.0685,346.963,174.7537,289.4499,218.4687,328.7943,131.9068,179.2297,307.6861,203.1681,403.8775,216.6499,216.2562,297.7175,170.9692,299.3645,257.479,274.761,245.0146,268.7805,200.8701,236.8826,233.2232,286.8708,381.3562,109.3388,185.6837,256.4496,376.1957,365.065,151.2804,106.509,208.9942,289.478,337.6449,327.37675,241.8413,244.7194,235.8517,677.0422,319.0133,462.955,285.6278,194.8094,213.6851,220.2302,179.2311,288.2657,307.1121,143.0501,339.4337,254.5937,186.3922,236.1426,218.0016,214.4075,256.0318,102.5556,391.6387,213.0621,322.4961,174.5723,361.0415,190.7501,459.5725,159.1393,111.0269,332.5172,191.9341,233.3592,157.4017
YWHAH,186.4447,346.5446,551.942,290.0984,267.0209,211.8296,221.8757,234.3717,136.2646,235.4606,240.0851,600.8585,139.2017,334.293,192.2709,205.7704,266.2348,421.6433,227.6787,239.3963,256.2299,473.8331,175.9537,295.975,318.4493,216.829,267.0884,238.1165,285.4316,241.8105,318.7334,176.5621,225.4099,386.5863,228.3237,344.6811,410.3115,137.0495,244.9535,293.5378,83.6087,230.5846,476.5117,452.2846,242.4821,388.0098,282.4594,378.1267,314.5997,297.8692,244.1704,197.1231,192.5497,141.9082,141.8667,396.0332,302.5644,388.911,294.5063,217.6205,186.9367,191.6633,236.2123,123.7014,637.4986,215.8003,223.755,355.0915,325.0017,284.5544,329.9808,464.3509,211.6194,246.9846,323.5475,207.5863,197.4099
YWHAQ,661.0385,513.2362,501.3719,331.4101,423.1089,234.4294,280.9495,378.1425,267.3095,623.8791,201.5627,788.5102,227.5155,421.2078,252.0105,522.6905,419.1925,513.3644,346.2265,971.2039,290.847,294.8094,413.9988,469.5061,623.3219,313.7958,479.9814,363.4168,611.4182,279.4775,480.4709,150.5259,132.8008,597.4309,705.8492,383.7952,413.2038,152.7424,218.1333,302.6839,331.7859,526.51025,278.952,427.125,406.3255,619.9464,495.5418,367.1766,534.354,432.0627,321.8274,672.8028,972.7399,262.079,431.9827,322.7352,664.3129,689.0932,293.6384,258.2553,532.6225,895.5063,510.32,231.9452,720.2501,397.0101,514.7001,518.6906,815.7798,428.0637,767.3176,526.8645,226.1439,368.0804,407.4046,448.283,501.2214
YWHAZ,302.5826,582.7375,1044.2999,369.7025,536.6302,742.4164,373.7326,514.2275,386.0893,636.8625,263.6107,931.6309,220.6038,411.4637,498.2709,508.7146,968.2837,900.9592,570.2391,524.6988,257.6135,309.5336,471.5838,390.8137,764.5571,322.4325,706.8762,425.8975,732.5628,285.9133,720.7782,123.1607,276.4966,394.7421,480.3567,402.0283,2796.5888,396.8779,377.2731,364.3821,290.9802,999.08925,427.5293,685.995,373.3149,700.2125,641.0716,588.4921,504.3801,260.0939,389.6502,1040.6115,403.9981,567.9384,619.1195,254.0566,448.8897,925.2852,807.8205,316.8559,542.377,311.3887,392.519,375.1279,395.6221,633.3743,558.8768,765.4042,505.0119,325.9837,695.1037,411.0503,367.676,313.2954,276.7401,651.7436,512.8443
YY1,69.1577,47.8915,67.8413,58.1276,56.2077,59.0986,64.2316,43.8976,32.3787,46.4195,41.7645,67.9067,29.6412,44.2247,38.1396,43.8924,41.707,55.086,51.146,86.6124,37.8256,60.8344,42.1204,41.787,31.4126,38.2874,93.9577,37.4309,60.9992,57.2625,60.7872,30.4264,63.3414,59.3845,54.2462,68.77,31.5209,24.3784,39.1257,52.8135,69.0626,56.9186,39.0749,61.5868,65.8957,62.8987,71.8094,61.25,67.0278,53.4425,47.7783,71.8566,134.7595,36.6997,76.5961,40.7971,71.5741,93.874,41.0846,37.4805,43.8212,48.5368,45.4337,57.3459,54.8375,24.7232,73.6312,66.666,58.9733,55.9319,72.3721,55.3212,56.178,57.9187,41.3283,51.4499,61.4694
YY1AP1,69.2017,28.1132,71.0681,75.6408,23.6064,30.2403,24.3768,32.533,30.9665,23.6309,36.3014,46.8352,27.9632,30.7112,57.717,23.506,27.6441,31.6333,20.641,29.5541,28.5607,88.5128,23.4758,30.3032,42.2712,28.4277,48.2189,48.2374,42.6076,54.9807,77.1607,15.1687,22.2364,38.7515,48.4764,71.478,33.5959,15.4074,51.403,87.4772,84.2255,47.67675,51.7697,39.3482,63.5262,137.6233,61.8083,68.5094,60.4727,41.2272,60.3824,53.7754,71.9885,35.8361,63.8823,30.1639,96.9078,61.7465,43.909,46.7484,44.4954,35.8069,42.3814,30.9886,61.2171,16.8106,54.1184,67.5924,55.8793,62.1826,55.7286,44.1409,19.2844,55.8728,48.9818,46.1326,46.3399
YY2,1.1097,1.2735,1.1017,2.1938,1.4175,2.1555,0.9307,0.8968,0.5413,0.545,0.1517,1.5891,0.7985,0.9944,2.4582,0.9082,0.6634,1.0617,0.5236,0.6852,8.3205,1.5698,1.0931,0.6898,1.0773,1.2042,0.9721,2.9659,0.9089,1.1819,0.6095,0.0909,0.202,0.5902,0.8456,2.1469,1.0005,0.9518,0.9983,1.3796,2.5388,2.143,2.6795,1.2594,1.4378,1.0929,1.1818,1.17,1.5749,0.8682,2.2366,1.0656,1.5042,2.4518,1.0972,0.5846,2.5394,1.003,0.5039,2.802,0.3111,0.3461,1.0584,0.4784,1.5502,0.8552,0.5439,0.7442,1.6667,1.0865,1.2531,1.2917,0.4415,0.9667,0.942,1.4394,0.7199
Z82190.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
