,Score,Localization,Dataset_Name,Type
CCDC115,-0.5359348,Secretory,Lung_NAT_PD,Proteome
CCDC117,0.48507553,Nucleus,Lung_NAT_PD,Proteome
CCDC127,0.2853076,Mitochondria,Lung_NAT_PD,Proteome
CCDC134,-0.36208868,Secretory,Lung_NAT_PD,Proteome
CCDC22,-0.3073701,Cytosol,Lung_NAT_PD,Proteome
CCDC25,-0.34383047,Cytosol,Lung_NAT_PD,Proteome
CCDC43,0.020525893,Cytosol,Lung_NAT_PD,Proteome
CCDC47,-0.11070192,Secretory,Lung_NAT_PD,Proteome
CCDC50,-0.24261935,Cytosol,Lung_NAT_PD,Proteome
CCDC51,0.4766851,Mitochondria,Lung_NAT_PD,Proteome
CCDC6,-0.074932,Cytosol,Lung_NAT_PD,Proteome
CCDC61,-0.3526798,Secretory,Lung_NAT_PD,Proteome
CCDC85C,-0.38567615,Cytosol,Lung_NAT_PD,Proteome
CCDC86,0.500103,Nucleus,Lung_NAT_PD,Proteome
CCDC90B,0.47042096,Mitochondria,Lung_NAT_PD,Proteome
CCDC91,0.06909079,Cytosol,Lung_NAT_PD,Proteome
CCDC92,0.19016296,Cytosol,Lung_NAT_PD,Proteome
CCDC93,-0.36927795,Cytosol,Lung_NAT_PD,Proteome
CCDC97,-0.3016045,Cytosol,Lung_NAT_PD,Proteome
CCNB1,-0.2932457,Cytosol,Lung_NAT_PD,Proteome
CCNH,0.49089903,Nucleus,Lung_NAT_PD,Proteome
CCNT1,0.46602076,Nucleus,Lung_NAT_PD,Proteome
CCNT2,0.26769608,Nucleus,Lung_NAT_PD,Proteome
CCNYL1,-0.31662968,Secretory,Lung_NAT_PD,Proteome
CCPG1,-0.08497639,Secretory,Lung_NAT_PD,Proteome
CCS,0.05714198,Cytosol,Lung_NAT_PD,Proteome
CCT2,-0.02464521,Cytosol,Lung_NAT_PD,Proteome
CCT3,-0.016943265,Cytosol,Lung_NAT_PD,Proteome
CCT4,-0.04747931,Cytosol,Lung_NAT_PD,Proteome
CCT5,-0.052258633,Cytosol,Lung_NAT_PD,Proteome
CCT6A,-0.016452854,Cytosol,Lung_NAT_PD,Proteome
CCT7,-0.03130716,Cytosol,Lung_NAT_PD,Proteome
CCT8,-0.053263195,Cytosol,Lung_NAT_PD,Proteome
CD109,-0.074103564,Secretory,Lung_NAT_PD,Proteome
CD151,-0.07430904,Secretory,Lung_NAT_PD,Proteome
CD276,-0.2929994,Secretory,Lung_NAT_PD,Proteome
CD2AP,0.06233965,Cytosol,Lung_NAT_PD,Proteome
CD44,-0.2850234,Secretory,Lung_NAT_PD,Proteome
CD46,-0.011734343,Secretory,Lung_NAT_PD,Proteome
CD47,-0.035536524,Secretory,Lung_NAT_PD,Proteome
CD55,-0.025803009,Secretory,Lung_NAT_PD,Proteome
CD58,-0.04049371,Secretory,Lung_NAT_PD,Proteome
CD63,-0.0799918,Secretory,Lung_NAT_PD,Proteome
CD81,-0.032103833,Secretory,Lung_NAT_PD,Proteome
CD99,-0.13173667,Secretory,Lung_NAT_PD,Proteome
CDAN1,-0.23347832,Cytosol,Lung_NAT_PD,Proteome
CDC123,-0.24942496,Cytosol,Lung_NAT_PD,Proteome
CDC34,-0.19096635,Cytosol,Lung_NAT_PD,Proteome
CDC37,-0.107482694,Cytosol,Lung_NAT_PD,Proteome
CDC40,0.42264238,Nucleus,Lung_NAT_PD,Proteome
CDC42,-0.035238247,Cytosol,Lung_NAT_PD,Proteome
CDC42EP4,0.19586946,Cytosol,Lung_NAT_PD,Proteome
CDC5L,0.49736995,Nucleus,Lung_NAT_PD,Proteome
CDC73,0.47165656,Nucleus,Lung_NAT_PD,Proteome
CDCA5,0.25172895,Nucleus,Lung_NAT_PD,Proteome
CDCA7L,0.5017906,Nucleus,Lung_NAT_PD,Proteome
CDK1,-0.32826185,Cytosol,Lung_NAT_PD,Proteome
CDK13,0.470731,Nucleus,Lung_NAT_PD,Proteome
CDK17,-0.13009587,Secretory,Lung_NAT_PD,Proteome
CDK5,-0.48883015,Cytosol,Lung_NAT_PD,Proteome
CDK5RAP3,-0.07943353,Secretory,Lung_NAT_PD,Proteome
CDK6,0.23934726,Cytosol,Lung_NAT_PD,Proteome
CDK9,0.5119532,Nucleus,Lung_NAT_PD,Proteome
CDKAL1,-0.42856026,Secretory,Lung_NAT_PD,Proteome
CDKN2AIPNL,0.47751984,Nucleus,Lung_NAT_PD,Proteome
CDR2L,0.21759577,Cytosol,Lung_NAT_PD,Proteome
CDS2,-0.3603569,Secretory,Lung_NAT_PD,Proteome
CDV3,-0.1480175,Cytosol,Lung_NAT_PD,Proteome
CEBPB,-0.4998277,Nucleus,Lung_NAT_PD,Proteome
CEBPZ,0.44701213,Nucleus,Lung_NAT_PD,Proteome
CELF1,0.48939604,Nucleus,Lung_NAT_PD,Proteome
CENPB,0.3851903,Nucleus,Lung_NAT_PD,Proteome
CENPC,0.41082075,Nucleus,Lung_NAT_PD,Proteome
CENPN,0.09696477,Nucleus,Lung_NAT_PD,Proteome
CEP112,0.20001867,Cytosol,Lung_NAT_PD,Proteome
CEP128,-0.3830762,Mitochondria,Lung_NAT_PD,Proteome
CEP192,-0.27769008,Cytosol,Lung_NAT_PD,Proteome
CEP44,0.23202294,Cytosol,Lung_NAT_PD,Proteome
CEP78,-0.14431772,Cytosol,Lung_NAT_PD,Proteome
CEP85,-0.28553477,Cytosol,Lung_NAT_PD,Proteome
CEP89,-0.21457468,Secretory,Lung_NAT_PD,Proteome
CERS2,-0.25115177,Secretory,Lung_NAT_PD,Proteome
