,Score,Localization,Dataset_Name,Type
C1orf226,-0.18688807,Mitochondria,Krug_Breast_PD,Proteome
C1orf50,0.39526844,Cytosol,Krug_Breast_PD,Proteome
C2CD2L,0.46583405,Secretory,Krug_Breast_PD,Proteome
C2orf49,0.60282445,Nucleus,Krug_Breast_PD,Proteome
C2orf69,-0.44023055,Cytosol,Krug_Breast_PD,Proteome
C4orf3,0.47048426,Secretory,Krug_Breast_PD,Proteome
C5orf24,0.37204152,Nucleus,Krug_Breast_PD,Proteome
C6orf47,0.4702788,Secretory,Krug_Breast_PD,Proteome
C6orf89,0.41816044,Secretory,Krug_Breast_PD,Proteome
CABIN1,0.38057542,Nucleus,Krug_Breast_PD,Proteome
CACYBP,-0.46153745,Cytosol,Krug_Breast_PD,Proteome
CAD,-0.40989798,Cytosol,Krug_Breast_PD,Proteome
CADM4,-0.42162296,Secretory,Krug_Breast_PD,Proteome
CALCOCO1,0.46297717,Cytosol,Krug_Breast_PD,Proteome
CALR,-0.3759568,Nucleus,Krug_Breast_PD,Proteome
CALU,-0.49292618,Nucleus,Krug_Breast_PD,Proteome
CAMK2D,0.058727384,Cytosol,Krug_Breast_PD,Proteome
CAMK2G,-0.20983358,Cytosol,Krug_Breast_PD,Proteome
CAMLG,0.4450672,Secretory,Krug_Breast_PD,Proteome
CANT1,0.39335215,Secretory,Krug_Breast_PD,Proteome
CANX,0.46786895,Secretory,Krug_Breast_PD,Proteome
CAPN1,0.43728277,Cytosol,Krug_Breast_PD,Proteome
CAPN2,0.3475626,Cytosol,Krug_Breast_PD,Proteome
CAPNS1,0.37315768,Cytosol,Krug_Breast_PD,Proteome
CAPS,-0.05563865,Cytosol,Krug_Breast_PD,Proteome
CASK,-0.1882799,Mitochondria,Krug_Breast_PD,Proteome
CASP7,0.38566676,Cytosol,Krug_Breast_PD,Proteome
CAST,0.22970851,Cytosol,Krug_Breast_PD,Proteome
CAV1,-0.12768516,Secretory,Krug_Breast_PD,Proteome
CBFB,0.20220517,Cytosol,Krug_Breast_PD,Proteome
CBL,0.15450975,Cytosol,Krug_Breast_PD,Proteome
CBR1,0.35995373,Cytosol,Krug_Breast_PD,Proteome
CBR3,0.40596431,Cytosol,Krug_Breast_PD,Proteome
CBX3,0.596145,Nucleus,Krug_Breast_PD,Proteome
CBX5,0.57777065,Nucleus,Krug_Breast_PD,Proteome
CBX8,0.40028003,Nucleus,Krug_Breast_PD,Proteome
CC2D1B,0.41041058,Cytosol,Krug_Breast_PD,Proteome
CCAR1,0.5484191,Nucleus,Krug_Breast_PD,Proteome
CCAR2,0.43192276,Nucleus,Krug_Breast_PD,Proteome
CCDC115,-0.45791024,Secretory,Krug_Breast_PD,Proteome
CCDC117,0.4855927,Nucleus,Krug_Breast_PD,Proteome
CCDC127,-0.09411847,Mitochondria,Krug_Breast_PD,Proteome
CCDC134,-0.41886848,Secretory,Krug_Breast_PD,Proteome
CCDC22,0.37436363,Cytosol,Krug_Breast_PD,Proteome
CCDC25,0.39159498,Cytosol,Krug_Breast_PD,Proteome
CCDC43,-0.1845544,Cytosol,Krug_Breast_PD,Proteome
CCDC47,0.451538,Secretory,Krug_Breast_PD,Proteome
CCDC50,0.1736375,Cytosol,Krug_Breast_PD,Proteome
CCDC51,0.27605414,Mitochondria,Krug_Breast_PD,Proteome
CCDC6,0.4469943,Cytosol,Krug_Breast_PD,Proteome
CCDC61,-0.4322883,Secretory,Krug_Breast_PD,Proteome
CCDC85C,0.39258236,Cytosol,Krug_Breast_PD,Proteome
CCDC86,0.5841296,Nucleus,Krug_Breast_PD,Proteome
CCDC90B,0.2900414,Mitochondria,Krug_Breast_PD,Proteome
CCDC91,0.049868584,Cytosol,Krug_Breast_PD,Proteome
CCDC92,0.2271443,Cytosol,Krug_Breast_PD,Proteome
CCDC93,0.39377406,Cytosol,Krug_Breast_PD,Proteome
CCDC97,-0.5761153,Cytosol,Krug_Breast_PD,Proteome
CCNB1,-0.5000456,Cytosol,Krug_Breast_PD,Proteome
CCNH,0.6263033,Nucleus,Krug_Breast_PD,Proteome
CCNT1,0.44147104,Nucleus,Krug_Breast_PD,Proteome
CCNT2,-0.403577,Nucleus,Krug_Breast_PD,Proteome
CCS,0.41806328,Cytosol,Krug_Breast_PD,Proteome
CCT2,0.23618658,Cytosol,Krug_Breast_PD,Proteome
CCT3,0.11577129,Cytosol,Krug_Breast_PD,Proteome
CCT4,0.13284594,Cytosol,Krug_Breast_PD,Proteome
CCT5,0.1831969,Cytosol,Krug_Breast_PD,Proteome
CCT6A,0.1788424,Cytosol,Krug_Breast_PD,Proteome
CCT7,0.2098616,Cytosol,Krug_Breast_PD,Proteome
CCT8,0.1058743,Cytosol,Krug_Breast_PD,Proteome
CD109,-0.14975,Secretory,Krug_Breast_PD,Proteome
CD151,0.42835572,Secretory,Krug_Breast_PD,Proteome
CD276,0.27643096,Secretory,Krug_Breast_PD,Proteome
CD2AP,0.31953558,Cytosol,Krug_Breast_PD,Proteome
CD44,0.4190844,Secretory,Krug_Breast_PD,Proteome
CD46,0.44782388,Secretory,Krug_Breast_PD,Proteome
CD47,0.41597393,Secretory,Krug_Breast_PD,Proteome
CD55,-0.040653083,Secretory,Krug_Breast_PD,Proteome
CD58,0.19355677,Secretory,Krug_Breast_PD,Proteome
CD63,0.39094064,Secretory,Krug_Breast_PD,Proteome
CD81,0.4628809,Secretory,Krug_Breast_PD,Proteome
CD99,-0.12256673,Secretory,Krug_Breast_PD,Proteome
CDAN1,0.31041276,Cytosol,Krug_Breast_PD,Proteome
CDC123,-0.1344204,Cytosol,Krug_Breast_PD,Proteome
CDC34,0.34644213,Cytosol,Krug_Breast_PD,Proteome
CDC37,0.32936168,Cytosol,Krug_Breast_PD,Proteome
CDC40,0.5914865,Nucleus,Krug_Breast_PD,Proteome
CDC42,0.27497038,Cytosol,Krug_Breast_PD,Proteome
CDC42EP4,-0.40194774,Cytosol,Krug_Breast_PD,Proteome
CDC5L,0.62092054,Nucleus,Krug_Breast_PD,Proteome
CDC73,0.6073116,Nucleus,Krug_Breast_PD,Proteome
CDCA2,0.47294125,Nucleus,Krug_Breast_PD,Proteome
CDCA5,0.5330911,Nucleus,Krug_Breast_PD,Proteome
CDK1,-0.4823468,Cytosol,Krug_Breast_PD,Proteome
CDK13,0.61780745,Nucleus,Krug_Breast_PD,Proteome
CDK17,-0.46123448,Secretory,Krug_Breast_PD,Proteome
CDK5,0.264668,Cytosol,Krug_Breast_PD,Proteome
CDK5RAP3,-0.43515795,Secretory,Krug_Breast_PD,Proteome
CDK6,0.14509858,Cytosol,Krug_Breast_PD,Proteome
CDK9,0.403756,Nucleus,Krug_Breast_PD,Proteome
CDKAL1,-0.4978255,Secretory,Krug_Breast_PD,Proteome
CDKN2AIPNL,-0.1963005,Nucleus,Krug_Breast_PD,Proteome
CDR2L,0.101778805,Cytosol,Krug_Breast_PD,Proteome
CDS2,0.45660406,Secretory,Krug_Breast_PD,Proteome
CDV3,-0.055483222,Cytosol,Krug_Breast_PD,Proteome
CEBPB,0.3551233,Nucleus,Krug_Breast_PD,Proteome
CEBPZ,0.5558261,Nucleus,Krug_Breast_PD,Proteome
CELF1,0.6117355,Nucleus,Krug_Breast_PD,Proteome
CENPB,0.48278543,Nucleus,Krug_Breast_PD,Proteome
CENPC,0.54345006,Nucleus,Krug_Breast_PD,Proteome
CENPT,-0.29330793,Nucleus,Krug_Breast_PD,Proteome
CEP112,0.19631946,Cytosol,Krug_Breast_PD,Proteome
CEP128,-0.41270226,Mitochondria,Krug_Breast_PD,Proteome
CEP192,-0.5386493,Cytosol,Krug_Breast_PD,Proteome
CEP44,0.28290826,Cytosol,Krug_Breast_PD,Proteome
CEP78,0.3104087,Cytosol,Krug_Breast_PD,Proteome
CEP85,-0.5003841,Cytosol,Krug_Breast_PD,Proteome
CEP89,0.07338084,Secretory,Krug_Breast_PD,Proteome
CERS2,0.4616272,Secretory,Krug_Breast_PD,Proteome
CFL1,0.3481196,Cytosol,Krug_Breast_PD,Proteome
CHAF1A,0.5726452,Nucleus,Krug_Breast_PD,Proteome
CHCHD3,0.120842695,Mitochondria,Krug_Breast_PD,Proteome
CHCHD6,-0.069692306,Mitochondria,Krug_Breast_PD,Proteome
CHD1,0.5186733,Nucleus,Krug_Breast_PD,Proteome
CHD2,0.61691344,Nucleus,Krug_Breast_PD,Proteome
CHD3,0.403872,Nucleus,Krug_Breast_PD,Proteome
CHD4,0.62606466,Nucleus,Krug_Breast_PD,Proteome
CHD6,0.36114162,Nucleus,Krug_Breast_PD,Proteome
CHD9,-0.534223,Nucleus,Krug_Breast_PD,Proteome
CHDH,0.13238057,Mitochondria,Krug_Breast_PD,Proteome
CHERP,0.6240663,Nucleus,Krug_Breast_PD,Proteome
CHKA,-0.2915056,Cytosol,Krug_Breast_PD,Proteome
CHM,-0.19891764,Cytosol,Krug_Breast_PD,Proteome
CHML,-0.2546297,Cytosol,Krug_Breast_PD,Proteome
CHMP2A,0.38078168,Cytosol,Krug_Breast_PD,Proteome
CHMP4B,0.364883,Cytosol,Krug_Breast_PD,Proteome
CHMP5,0.36921614,Cytosol,Krug_Breast_PD,Proteome
CHMP6,0.43146315,Secretory,Krug_Breast_PD,Proteome
